uid,uname,upwd,email,phone,avatar,user_name,gender
1,dangevan,2344,dang@qq.com,135012345682,/upload/xz_user/avatar-1552279617817,林当233,1
2,dangdang,123456,dang@qq.com,135012345682,/upload/xz_user/avatar-1552125362611,林当233,1
3,yaya,123456,ya@qq.com,13501234560,/upload/xz_user/avatar-1552125414469,秦小雅22333,0
4,zhangsan,123456,123@qq.com,15912312312,/upload/xz_user/avatar-1552100869953,张三,1
5,lisi,654321,123@163.com,159112121212,/upload/xz_user/avatar-1552095459066,我是李四,1
6,lisi,123456,123@qq.com,15912312312,/upload/xz_user/avatar-1552095464441,null,0
7,zhangsan444,123456,123@qq.com,15912312312,/upload/xz_user/avatar-1552099975622,null,0
8,zhangsan,123456,123@qq.com,15912312312,/upload/xz_user/avatar-1552099988004,null,0
9,zhangsan222,123456,123@qq.com,15912312312,/upload/xz_user/avatar-1552099999852,null,0
10,zhangsan,123456,123@qq.com,15912312312,/upload/xz_user/avatar-1552100008332,丁伟,1
11,dangdang,123456,dang@qq.com,13501234568,/upload/xz_user/1.jpg,林当,1
12,doudou,123456,dou@qq.com,13501234569,/upload/xz_user/1.jpg,窦志强,1
13,yaya,123456,ya@qq.com,13501234560,/upload/xz_user/1.jpg,秦小雅,0
14,zhangsan,123456,123@qq.com,15912312312,/upload/xz_user/1.jpg,null,0
15,zhangsan333,123456,123@qq.com,15912312312,/upload/xz_user/1.jpg,null,0
16,lisi,123456,123@qq.com,15912312312,/upload/xz_user/avatar-1552309846663,null,0
17,lulu,2222,2222@sina.com,15913131313,/upload/xz_user/avatar-1551265590162,志强,1
